#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000 NaN      NaN       NaN       NaN       NaN      
   0.05136  0.95068  0.01433 NaN      NaN       NaN        0.118796 NaN      
   0.10269  0.90138  0.02863 NaN      NaN       NaN        0.119531 NaN      
   0.15424  0.85189  0.04306 NaN      NaN       NaN        0.120318 NaN      
   0.20590  0.80220  0.05719 NaN      NaN       NaN        0.121162 NaN      
   0.25761  0.75230  0.07075 NaN      NaN       NaN        0.122069 NaN      
   0.30929  0.70219  0.08338 NaN      NaN       NaN        0.123048 NaN      
   0.36087  0.65189  0.09482 NaN      NaN       NaN        0.124109 NaN      
   0.41233  0.60141  0.10479 NaN      NaN       NaN        0.125264 NaN      
   0.46362  0.55077  0.11293 NaN      NaN       NaN        0.126529 NaN      
   0.51472  0.50000  0.11877 NaN      NaN       NaN        0.127926 NaN      
   0.56567  0.44915  0.12186 NaN      NaN       NaN        0.129484 NaN      
   0.61656  0.39826  0.12210 NaN      NaN       NaN        0.131246 NaN      
   0.66749  0.34738  0.11972 NaN      NaN       NaN        0.133272 NaN      
   0.71857  0.29652  0.11504 NaN      NaN       NaN        0.135651 NaN      
   0.76983  0.24574  0.10803 NaN      NaN       NaN        0.138519 NaN      
   0.82140  0.19506  0.09848 NaN      NaN       NaN        0.142110 NaN      
   0.87343  0.14455  0.08602 NaN      NaN       NaN        0.146865 NaN      
   0.92623  0.09431  0.06978 NaN      NaN       NaN        0.153793 NaN      
   0.95313  0.06936  0.05971 NaN      NaN       NaN        0.158852 NaN      
   0.98061  0.04462  0.04776 NaN      NaN       NaN        0.166133 NaN      
   1.00926  0.02026  0.03268 NaN      NaN       NaN        0.178797 NaN      
   1.02462  0.00839  0.02293 NaN      NaN       NaN        0.191262 NaN      
   1.03150  0.00385  0.01776 NaN      NaN       NaN        0.091584 NaN      
   1.03543  0.00172  0.01446 NaN      NaN       NaN       -0.017409 NaN      
   1.04998  0.00001  0.00001 NaN      NaN       NaN      121.972290 NaN      
   1.05000  0.00001 -0.00001 NaN       0.000000  0.000000  0.000000 NaN      
   1.06412  0.00828 -0.01146 NaN       0.000000  0.000000  0.000000 NaN      
   1.06768  0.01115 -0.01356 NaN       0.000000  0.000000  0.000000 NaN      
   1.07388  0.01661 -0.01651 NaN       0.000000  0.000000  0.000000 NaN      
   1.08794  0.02974 -0.02152 NaN       0.000000  0.000000  0.000000 NaN      
   1.11459  0.05538 -0.02880 NaN       0.000000  0.000000  0.000000 NaN      
   1.14043  0.08064 -0.03427 NaN       0.000000  0.000000  0.000000 NaN      
   1.16588  0.10569 -0.03876 NaN       0.000000  0.000000  0.000000 NaN      
   1.21612  0.15545 -0.04564 NaN       0.000000  0.000000  0.000000 NaN      
   1.26587  0.20494 -0.05072 NaN       0.000000  0.000000  0.000000 NaN      
   1.31532  0.25426 -0.05433 NaN       0.000000  0.000000  0.000000 NaN      
   1.36460  0.30348 -0.05672 NaN       0.000000  0.000000  0.000000 NaN      
   1.41375  0.35262 -0.05792 NaN       0.000000  0.000000  0.000000 NaN      
   1.46287  0.40174 -0.05784 NaN       0.000000  0.000000  0.000000 NaN      
   1.51201  0.45085 -0.05616 NaN       0.000000  0.000000  0.000000 NaN      
   1.56129  0.50000 -0.05259 NaN       0.000000  0.000000  0.000000 NaN      
   1.61081  0.54923 -0.04723 NaN       0.000000  0.000000  0.000000 NaN      
   1.66062  0.59859 -0.04053 NaN       0.000000  0.000000  0.000000 NaN      
   1.71071  0.64811 -0.03302 NaN       0.000000  0.000000  0.000000 NaN      
   1.76104  0.69781 -0.02506 NaN       0.000000  0.000000  0.000000 NaN      
   1.81157  0.74770 -0.01705 NaN       0.000000  0.000000  0.000000 NaN      
   1.86225  0.79780 -0.00943 NaN       0.000000  0.000000  0.000000 NaN      
   1.91301  0.84811 -0.00268 NaN       0.000000  0.000000  0.000000 NaN      
   1.96377  0.89862  0.00239 NaN       0.000000  0.000000  0.000000 NaN      
   2.01452  0.94932  0.00463 NaN       0.000000  0.000000  0.000000 NaN      
   2.06541  1.00000  0.00000 NaN       0.000000  0.000000  0.000000 NaN      
   2.06541  1.00010 -0.00002 NaN      NaN       NaN        0.000000 NaN      
   2.11654  0.96856  0.04022 NaN      NaN       NaN        0.000000 NaN      
   2.18478  1.03165  0.06621 NaN      NaN       NaN        0.000000 NaN      
   2.27586  1.06945  0.14908 NaN      NaN       NaN        0.000000 NaN      
   2.39744  1.12932  0.25489 NaN      NaN       NaN        0.000000 NaN      
   2.55971  1.20498  0.39845 NaN      NaN       NaN        0.000000 NaN      
   2.77630  1.29701  0.59452 NaN      NaN       NaN        0.000000 NaN      
   3.06540  1.40628  0.86217 NaN      NaN       NaN        0.000000 NaN      
